,rank,title,artist,week,raw_rank
0,1,Blinding Lights,The Weeknd,24/08/20 - 30/08/20,128.714
1,2,Юность,DaBro,24/08/20 - 30/08/20,128.857
2,3,Краш,Клава Кока,24/08/20 - 30/08/20,129.0
3,4,Roses (Imanbek Remix),SAINt JHN,24/08/20 - 30/08/20,129.143
4,5,MAMACITA,Black Eyed Peas,24/08/20 - 30/08/20,129.286
5,6,Сияй,Ramil',24/08/20 - 30/08/20,129.429
6,7,Lovefool,twocolors,24/08/20 - 30/08/20,129.571
7,8,Dance Monkey,Tones and I,24/08/20 - 30/08/20,129.714
8,9,Fly 2,Zivert,24/08/20 - 30/08/20,129.857
9,10,ily (i love you baby),Surf Mesa,24/08/20 - 30/08/20,130.0
10,11,Поболело и прошло,Hensy,24/08/20 - 30/08/20,130.143
11,12,Life,Zivert,24/08/20 - 30/08/20,130.286
12,13,Ride It,Regard,24/08/20 - 30/08/20,130.429
13,14,Комета,Jony,24/08/20 - 30/08/20,130.571
14,15,Breaking Me,Topic,24/08/20 - 30/08/20,130.714
15,16,Cadillac,Morgenshtern,24/08/20 - 30/08/20,130.857
16,17,Таблетка,Джаро & Ханза,24/08/20 - 30/08/20,131.0
17,18,Intihask,Hafex,24/08/20 - 30/08/20,131.143
18,19,Ты беспощадна,Jony,24/08/20 - 30/08/20,131.286
19,20,Lollipop,Gafur,24/08/20 - 30/08/20,131.429
20,21,Двигаться,RaiM,24/08/20 - 30/08/20,131.571
21,22,Say So,Doja Cat,24/08/20 - 30/08/20,131.714
22,23,Плачу на техно,Cream Soda,24/08/20 - 30/08/20,131.857
23,24,А если это любовь?,HammAli & Navai,24/08/20 - 30/08/20,132.0
24,25,Любимка,NILETTO,24/08/20 - 30/08/20,132.143
25,26,Девочка танцуй,Artik & Asti,24/08/20 - 30/08/20,132.286
26,27,Грустный дэнс (feat. Артем Качер),Artik & Asti,24/08/20 - 30/08/20,132.429
27,28,Djadja,Aya Nakamura,24/08/20 - 30/08/20,132.571
28,29,Пряталась в ванной,Мари Краймбрери,24/08/20 - 30/08/20,132.714
29,30,Луна не знает пути,Тайпан,24/08/20 - 30/08/20,132.857
